"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US26139","Ottawa County, Michigan","68817","3098"
"0500000US26145","Saginaw County, Michigan","48303","2158"
"0500000US26147","St. Clair County, Michigan","59837","4564"
"0500000US26155","Shiawassee County, Michigan","55249","3846"
"0500000US26159","Van Buren County, Michigan","60549","5914"
"0500000US26161","Washtenaw County, Michigan","76576","3151"
"0500000US26163","Wayne County, Michigan","50753","741"
"0500000US27003","Anoka County, Minnesota","83353","2385"
"0500000US27013","Blue Earth County, Minnesota","61133","7285"
"0500000US27019","Carver County, Minnesota","101434","2545"
"0500000US27035","Crow Wing County, Minnesota","60534","3009"
"0500000US27037","Dakota County, Minnesota","88864","3337"
"0500000US27053","Hennepin County, Minnesota","82369","1322"
"0500000US27109","Olmsted County, Minnesota","80096","5379"
"0500000US27123","Ramsey County, Minnesota","68871","2432"
"0500000US27131","Rice County, Minnesota","72469","7370"
"0500000US27137","St. Louis County, Minnesota","60434","2151"
"0500000US27139","Scott County, Minnesota","108761","5120"
"0500000US27141","Sherburne County, Minnesota","96210","5379"
"0500000US27145","Stearns County, Minnesota","66558","2838"
"0500000US27163","Washington County, Minnesota","100596","3481"
"0500000US27171","Wright County, Minnesota","91707","6646"
"0500000US28033","DeSoto County, Mississippi","66078","5127"
"0500000US28035","Forrest County, Mississippi","39063","4380"
"0500000US28047","Harrison County, Mississippi","50119","3801"
"0500000US28049","Hinds County, Mississippi","44964","2646"
"0500000US28059","Jackson County, Mississippi","52476","4047"
"0500000US28067","Jones County, Mississippi","37594","7072"
"0500000US28075","Lauderdale County, Mississippi","37497","5965"
"0500000US28081","Lee County, Mississippi","49715","6250"
"0500000US28089","Madison County, Mississippi","68171","5440"
"0500000US28121","Rankin County, Mississippi","67012","3902"
"0500000US29019","Boone County, Missouri","57013","4500"
"0500000US29021","Buchanan County, Missouri","46922","5906"
"0500000US29031","Cape Girardeau County, Missouri","57908","6876"
"0500000US29037","Cass County, Missouri","72819","7273"
"0500000US29043","Christian County, Missouri","62765","5608"
"0500000US29047","Clay County, Missouri","70253","2850"
"0500000US29051","Cole County, Missouri","61371","4011"
"0500000US29071","Franklin County, Missouri","60953","3766"
"0500000US29077","Greene County, Missouri","43752","2648"
"0500000US29095","Jackson County, Missouri","57936","1768"
"0500000US29097","Jasper County, Missouri","45010","3250"
"0500000US29099","Jefferson County, Missouri","69009","4643"
"0500000US29165","Platte County, Missouri","81712","7836"
"0500000US29183","St. Charles County, Missouri","89146","2449"
"0500000US29187","St. Francois County, Missouri","42390","3664"
"0500000US29189","St. Louis County, Missouri","70022","1923"
"0500000US29510","St. Louis city, Missouri","47176","2893"
"0500000US30013","Cascade County, Montana","51227","4181"
"0500000US30029","Flathead County, Montana","62588","5520"
"0500000US30031","Gallatin County, Montana","75418","5764"
"0500000US30049","Lewis and Clark County, Montana","67616","8550"
"0500000US30063","Missoula County, Montana","57347","2977"
"0500000US30111","Yellowstone County, Montana","61186","2846"
"0500000US31055","Douglas County, Nebraska","67133","2203"
"0500000US31109","Lancaster County, Nebraska","61175","1553"
"0500000US31153","Sarpy County, Nebraska","83720","2948"
"0500000US32003","Clark County, Nevada","62107","863"
"0500000US32031","Washoe County, Nevada","71881","2463"
"0500000US33005","Cheshire County, New Hampshire","66088","6829"
"0500000US33009","Grafton County, New Hampshire","60588","5072"
"0500000US33011","Hillsborough County, New Hampshire","83626","4891"
"0500000US33013","Merrimack County, New Hampshire","76218","5098"
"0500000US33015","Rockingham County, New Hampshire","91249","3217"
"0500000US33017","Strafford County, New Hampshire","71765","4885"
"0500000US34001","Atlantic County, New Jersey","63389","3294"
"0500000US34003","Bergen County, New Jersey","108827","3521"
"0500000US34005","Burlington County, New Jersey","88797","3533"
"0500000US34007","Camden County, New Jersey","73672","2694"
"0500000US34009","Cape May County, New Jersey","69980","7037"
"0500000US34011","Cumberland County, New Jersey","54587","5572"
"0500000US34013","Essex County, New Jersey","64626","2713"
"0500000US34015","Gloucester County, New Jersey","89447","5967"
"0500000US34017","Hudson County, New Jersey","78808","3056"
"0500000US34019","Hunterdon County, New Jersey","116155","9654"
"0500000US34021","Mercer County, New Jersey","79492","5633"
"0500000US34023","Middlesex County, New Jersey","93418","3720"
"0500000US34025","Monmouth County, New Jersey","102870","2944"
"0500000US34027","Morris County, New Jersey","116283","4894"
"0500000US34029","Ocean County, New Jersey","76093","2971"
"0500000US34031","Passaic County, New Jersey","77040","2556"
"0500000US34033","Salem County, New Jersey","68531","3073"
"0500000US34035","Somerset County, New Jersey","111587","6959"
"0500000US34037","Sussex County, New Jersey","101130","4090"
"0500000US34039","Union County, New Jersey","80339","3814"
"0500000US34041","Warren County, New Jersey","84479","4078"
"0500000US35001","Bernalillo County, New Mexico","56115","2291"
"0500000US35005","Chaves County, New Mexico","42003","4911"
"0500000US35013","Doña Ana County, New Mexico","43038","3303"
"0500000US35025","Lea County, New Mexico","68457","9074"
"0500000US35031","McKinley County, New Mexico","37153","4875"
"0500000US35035","Otero County, New Mexico","39371","6361"
"0500000US35043","Sandoval County, New Mexico","71997","4398"
"0500000US35045","San Juan County, New Mexico","44321","3487"
"0500000US35049","Santa Fe County, New Mexico","61298","4088"
"0500000US35061","Valencia County, New Mexico","60601","7102"
"0500000US36001","Albany County, New York","69953","4889"
"0500000US36005","Bronx County, New York","41432","1090"
"0500000US36007","Broome County, New York","52010","3777"
"0500000US36009","Cattaraugus County, New York","50912","2594"
"0500000US36011","Cayuga County, New York","58665","4419"
"0500000US36013","Chautauqua County, New York","50272","2689"
"0500000US36015","Chemung County, New York","60782","5361"
"0500000US36019","Clinton County, New York","60198","5044"
"0500000US36027","Dutchess County, New York","85901","4980"
"0500000US36029","Erie County, New York","60652","1175"
"0500000US36045","Jefferson County, New York","53917","3182"
"0500000US36047","Kings County, New York","66937","1343"
"0500000US36051","Livingston County, New York","59173","4255"
"0500000US36053","Madison County, New York","62918","7196"
"0500000US36055","Monroe County, New York","62103","1588"
"0500000US36059","Nassau County, New York","118453","2877"
"0500000US36061","New York County, New York","93651","3322"
"0500000US36063","Niagara County, New York","56304","3279"
"0500000US36065","Oneida County, New York","57391","3867"
"0500000US36067","Onondaga County, New York","61577","1705"
"0500000US36069","Ontario County, New York","66568","3444"
"0500000US36071","Orange County, New York","84458","4115"
"0500000US36075","Oswego County, New York","58459","4387"
"0500000US36079","Putnam County, New York","106204","5290"
"0500000US36081","Queens County, New York","73696","1832"
"0500000US36083","Rensselaer County, New York","71574","3684"
"0500000US36085","Richmond County, New York","89821","5711"
"0500000US36087","Rockland County, New York","100916","3632"
"0500000US36089","St. Lawrence County, New York","52108","4862"
"0500000US36091","Saratoga County, New York","89932","4301"
"0500000US36093","Schenectady County, New York","65773","5060"
"0500000US36101","Steuben County, New York","52951","2288"
"0500000US36103","Suffolk County, New York","106228","3154"
"0500000US36105","Sullivan County, New York","60137","4340"
"0500000US36109","Tompkins County, New York","58626","5696"
"0500000US36111","Ulster County, New York","64087","3519"
"0500000US36113","Warren County, New York","64985","6205"
"0500000US36117","Wayne County, New York","61730","6356"
"0500000US36119","Westchester County, New York","101908","2096"
"0500000US37001","Alamance County, North Carolina","58490","3688"
"0500000US37019","Brunswick County, North Carolina","63668","3211"
"0500000US37021","Buncombe County, North Carolina","54970","3586"
"0500000US37023","Burke County, North Carolina","47361","4705"
"0500000US37025","Cabarrus County, North Carolina","72333","4891"
"0500000US37027","Caldwell County, North Carolina","48737","3982"
"0500000US37031","Carteret County, North Carolina","60186","3916"
"0500000US37035","Catawba County, North Carolina","52436","3854"
"0500000US37037","Chatham County, North Carolina","66857","5884"
"0500000US37045","Cleveland County, North Carolina","44987","3403"
"0500000US37049","Craven County, North Carolina","52832","6314"
"0500000US37051","Cumberland County, North Carolina","46292","1707"
"0500000US37057","Davidson County, North Carolina","53473","5916"
"0500000US37063","Durham County, North Carolina","65317","3614"
"0500000US37067","Forsyth County, North Carolina","52017","2610"
"0500000US37069","Franklin County, North Carolina","57099","8109"
"0500000US37071","Gaston County, North Carolina","56595","2954"
"0500000US37081","Guilford County, North Carolina","55328","2852"
"0500000US37085","Harnett County, North Carolina","55753","5212"
"0500000US37089","Henderson County, North Carolina","62131","2936"
"0500000US37097","Iredell County, North Carolina","68660","4069"
"0500000US37101","Johnston County, North Carolina","60951","6167"
"0500000US37109","Lincoln County, North Carolina","71514","4430"
"0500000US37119","Mecklenburg County, North Carolina","69072","2224"
"0500000US37125","Moore County, North Carolina","62469","6066"
"0500000US37127","Nash County, North Carolina","50656","3266"
"0500000US37129","New Hanover County, North Carolina","56382","3227"
"0500000US37133","Onslow County, North Carolina","49544","4326"
"0500000US37135","Orange County, North Carolina","74299","5419"
